1.,http://product.dangdang.com/25062481.html,诺奖少年版（全套30册）2018当当童书畅销书，日销售ZUI高达50000册，系列销量突破3500000册。含新课标书目,海明威,2017-04-01,辽宁少年儿童出版社,282953条评论
2.,http://product.dangdang.com/25259302.html,银火箭少年科幻系列 （8册。亚洲首位“雨果奖”得主刘慈欣主编，根据《流浪地球》改编的电影大年初一上映。套装内图书获银河奖特等奖等多项国际大奖，全球销量超500万册）,刘慈欣,2018-04-02,浙江教育出版社,75838条评论
3.,http://product.dangdang.com/23580693.html,哈利・波特 （全集1-7册）全新版套装中文版,J.K.罗琳,2014-11-01,人民文学出版社,165316条评论
4.,http://product.dangdang.com/21085963.html,神奇校车・阅读版（全16册）,乔安娜柯尔,2011-06-01,贵州人民出版社,246125条评论
5.,http://product.dangdang.com/23375954.html,玛蒂娜故事书（全新版）,�岳逞盼�,2013-12-01,贵州教育出版社,59286条评论
6.,http://product.dangdang.com/20481551.html,国际大奖小说系列（共53册）,卡尔森,2005-01-01,新蕾出版社（天津）有限公司（当当书友会）,74732条评论
7.,http://product.dangdang.com/23975315.html,罗尔德・达尔作品典藏（13本套装）,罗尔德・达尔,2014-07-04,明天出版社,120597条评论
8.,http://product.dangdang.com/23950912.html,多莱尔的希腊神话书（畅销千万册，纽约公共图书馆“百年百佳书”）,英格丽,2016-06-01,江苏教育出版社,97953条评论
9.,http://product.dangdang.com/25099944.html,小读客・梅格时空大冒险（套装全5册）（含《时间的折皱》[又名《时间的皱折》《时间的皱纹》]、《银河的裂缝》等）,马德琳・英格,2017-07-01,文汇出版社,143372条评论
10.,http://product.dangdang.com/22534125.html,我爱阅读桥梁书：黄色系列1辑+2辑（全40册）,克里斯蒂娜・帕吕伊,2011-01-01,广州出版社,50638条评论
11.,http://product.dangdang.com/23624833.html,名著名译名绘版 十册套装,马克,2015-01-01,接力出版社,6693条评论
12.,http://product.dangdang.com/22534124.html,我爱阅读桥梁书：蓝色系列1辑+2辑（全40册）,拉沙,2011-11-08,广州出版社,42812条评论
13.,http://product.dangdang.com/25067898.html,长青藤国际大奖小说套装系列（全10册 当当精选）,杰里,2017-03-01,云南出版集团公司 晨光出版社,32832条评论
14.,http://product.dangdang.com/23546266.html,夏洛的网（新）,怀特,2014-08-01,上海译文出版社,564354条评论
15.,http://product.dangdang.com/25272786.html,窗边的小豆豆(2018版),黑柳彻子,2018-05-01,南海出版公司,949231条评论
16.,http://product.dangdang.com/8964881.html,安徒生童话全集（200周年超级典藏本）,安徒生,2005-01-01,浙江少年儿童出版社,42666条评论
17.,http://product.dangdang.com/25201799.html,小读客・碟形世界 青少年系列（1-6套装）（比《哈利・波特》和《魔戒》加起来还好看的，可能只有《碟形世界》）,特里・普拉切特,2017-06-01,文汇出版社,18461条评论
18.,http://product.dangdang.com/23484133.html,晴天有时下猪系列（全9册),矢玉四郎,2014-05-01,二十一世纪出版社,83305条评论
19.,http://product.dangdang.com/23177807.html,窗边的小豆豆套装（全六册）,黑柳彻子,2012-11-01,南海出版公司,162771条评论
20.,http://product.dangdang.com/22474387.html,纳尼亚传奇(全辑共7册),刘易斯,2011-08-01,译林出版社,107777条评论
21.,http://product.dangdang.com/25229918.html,小屁孩日记（1-22）平装套装,杰夫・金尼�M,2018-04-01,新世纪出版社,4125条评论
22.,http://product.dangdang.com/25094229.html,国际大奖小说注音版（20册）,洛特・金仕可菲,2017-06-01,新蕾出版社,10742条评论
23.,http://product.dangdang.com/20810568.html,安房直子幻想小说系列（共6册）,安房直子,2010-06-01,少年儿童出版社,91570条评论
24.,http://product.dangdang.com/23454155.html,小淘气尼古拉的故事全集（全11册）,勒内・戈西尼,2014-05-01,中国少年儿童出版社,45330条评论
25.,http://product.dangdang.com/22583358.html,安房直子月光童话系列（全5册）,安房直子,2012-01-01,接力出版社,59587条评论
26.,http://product.dangdang.com/23292645.html,永远讲不完的故事(新译本),米切尔・恩德,2013-06-01,２１世纪出版社,143544条评论
27.,http://product.dangdang.com/22541581.html,我爱阅读桥梁书：红色40册1辑+2辑（全40册）,拉沙,2011-11-08,广州出版社,34472条评论
28.,http://product.dangdang.com/22923244.html,猫头鹰王国套装（共15册）,拉丝基,2009-09-01,湖北少儿出版社,28880条评论
29.,http://product.dangdang.com/23797242.html,我和小姐姐克拉拉（共3册）1.2.3 经典完全本,迪米特尔茵可夫,2015-09-01,二十一世纪出版社,116805条评论
30.,http://product.dangdang.com/25325218.html,神奇树屋・美国国宝级童书・故事系列・基础版・第1 2辑中文版（1-8册）适合5-12岁儿童,玛丽・波・奥斯本,2018-08-01,浙江教育出版社,20143条评论
31.,http://product.dangdang.com/23370059.html,科瓦奇讲植物、动物、天文与地理（全三册）,查尔斯・科瓦奇,2013-12-01,贵州教育出版社,26868条评论
32.,http://product.dangdang.com/25212571.html,小虎神探队礼盒装（1-25）（原书名：冒险小虎队）,托马斯・布热齐纳,2018-01-01,人民邮电出版社,2345条评论
33.,http://product.dangdang.com/25293813.html,柳林风声,肯尼斯格雷厄姆,2013-08-15,贵州人民出版社,120107条评论
34.,http://product.dangdang.com/20203259.html,彩乌鸦系列(全20册),米切尔,2008-05-01,二十一世纪出版社,57785条评论
35.,http://product.dangdang.com/23190572.html,林格伦儿童文学作品集・典藏版――长袜子皮皮,林格伦,2013-01-01,中国少年儿童出版社,132307条评论
36.,http://product.dangdang.com/23368941.html,佐贺的超级阿嬷,岛田洋七,2013-11-01,南海出版公司,151559条评论
37.,http://product.dangdang.com/23829467.html,（注音版）西顿动物记（全10册，赠送朗读光盘）,欧内斯特・汤普森・西顿,2015-12-01,北京科学技术出版社,9636条评论
38.,http://product.dangdang.com/23560891.html,蒲公英童书馆国际大奖小说系列（全15册）,汤米狄波拉,2014-05-01,贵州人民出版社,6544条评论
39.,http://product.dangdang.com/23574026.html,哈利・波特与死亡圣器(哈利・波特系列十五周年全新纪念珍藏版),J.K.Rowling,2007-10-01,人民文学出版社,82256条评论
40.,http://product.dangdang.com/25110008.html,罗尔德・达尔作品典藏 查理和巧克力工厂,罗尔德・达尔,2017-05-23,明天出版社,199346条评论
41.,http://product.dangdang.com/25205632.html,胡椒罐大楼的小侦探（全4册）,克里斯・里德尔,2018-01-10,长江少年儿童出版社,24623条评论
42.,http://product.dangdang.com/23292646.html,毛毛(米切尔・恩德作品典藏),米切尔・恩德,2013-06-01,２１世纪出版社,116689条评论
43.,http://product.dangdang.com/23763985.html,波西・杰克逊系列十周年完结珍藏版,雷克・莱尔顿,2015-09-01,接力出版社,4336条评论
44.,http://product.dangdang.com/24229068.html,小读客・五年级神探小布朗上辑（套装共10册）（乔布斯、比尔・盖茨、马斯克等美国近50年来所有“聪明脑袋”的思考模式启蒙书。）,唐纳・索博尔,2017-03-01,江苏文艺出版社,12288条评论
45.,http://product.dangdang.com/25168877.html,猫武士一部曲（6册/套）,艾琳.亨特,2017-09-01,中国少年儿童出版社,58490条评论
46.,http://product.dangdang.com/22916806.html,福尔摩斯探案全集（插图典藏版全四册),柯南・道尔,2013-01-01,中国妇女出版社,54596条评论
47.,http://product.dangdang.com/20850436.html,猫武士三部曲-三力量（套装1-6全）,艾琳・亨特,2010-05-01,未来出版社,50219条评论
48.,http://product.dangdang.com/24169703.html,诺奖少年版（含萌芽卷、启迪卷、成长卷共18册。当当2017新锐童书奖！含新课标书目，适合中小学生阅读）,海明威,2016-10-01,辽宁少年儿童出版社,282746条评论
49.,http://product.dangdang.com/23456479.html,叶君健译本：安徒生童话全集（全四册）,安徒生,2014-08-01,天津人民出版社,39633条评论
50.,http://product.dangdang.com/23526616.html,大盗贼 (共3册）,奥德弗雷德普鲁士勒,2014-06-01,二十一世纪出版社,63385条评论
51.,http://product.dangdang.com/23371019.html,希腊神话（全十二册）,斯蒂芬尼德斯,2013-11-01,中译出版社（原中国对外翻译出版公司）,20472条评论
52.,http://product.dangdang.com/25235015.html,新版林格伦作品选集・美绘版 长袜子皮皮,阿斯特丽德・林格伦,2018-03-01,中国少年儿童出版社,396003条评论
53.,http://product.dangdang.com/23574021.html,哈利・波特与魔法石,罗琳,2000-09-01,人民文学出版社,139306条评论
54.,http://product.dangdang.com/25180752.html,不老泉文库（1-10册）第一辑 礼盒装 不老泉/银顶针的夏天/时代广场的蟋蟀/丽芙卡的信/苏菲的航海日志,娜塔莉・巴比特,2017-09-01,二十一世纪出版社,15200条评论
55.,http://product.dangdang.com/23579622.html,A to Z 神秘案件（A to Z Mysteries，共26册，中英双语）,罗恩・罗伊,2014-10-01,连环画出版社,11261条评论
56.,http://product.dangdang.com/20686499.html,我爱阅读桥梁书：蓝色系列第1辑（全20册）,纪蒂・威尔,2009-09-01,广州出版社,24291条评论
57.,http://product.dangdang.com/22937563.html,少年励志小说馆合辑（第1+2辑，全12册）,法国,2013-05-01,湖北少儿出版社,26584条评论
58.,http://product.dangdang.com/25254886.html,世界第一少年侦探团・第一辑（新版，全5册）“哈利・波特”之母J.K.罗琳的童年枕边书，又译“疯狂侦探团”,伊妮德・布莱顿,2018-05-01,江苏凤凰美术出版社,78680条评论
59.,http://product.dangdang.com/20686501.html,我爱阅读桥梁书：红色系列第1辑（全20册）,克里斯蒂娜・阿侬,2009-09-01,广州出版社,26797条评论
60.,http://product.dangdang.com/8925289.html,天蓝色的彼岸,希尔,2005-04-01,新世界出版社,178036条评论
61.,http://product.dangdang.com/20923655.html,劳拉的星星（全7册）,鲍姆加特,2010-07-01,中国少年儿童出版社,52550条评论
62.,http://product.dangdang.com/24006781.html,老鼠记者全球版 礼盒装 第一辑（1-5） 当当网专享,杰罗尼摩,2016-06-01,二十一世纪出版社,23157条评论
63.,http://product.dangdang.com/24044345.html,哈利・波特与被诅咒的孩子（哈利波特8）,J.K.罗琳,2016-10-31,人民文学出版社,49824条评论
64.,http://product.dangdang.com/23812987.html,战马（（精装典藏版）,迈克尔・莫波格,2016-01-01,南海出版公司,54335条评论
65.,http://product.dangdang.com/25067457.html,世界文学大师名著少年精选（全套3辑共18册，含新课标必读书目，儿童文学大咖梅子涵主编）,埃克苏佩里,2017-04-01,辽宁少年儿童出版社,15469条评论
66.,http://product.dangdang.com/20760766.html,猫武士二部曲-新预言（套装1-6全）,艾琳・亨特,2010-01-01,未来出版社,52271条评论
67.,http://product.dangdang.com/23418061.html,国际大奖小说――爱德华的奇妙之旅（精装本）,迪卡米洛,2014-02-01,新蕾出版社,139550条评论
68.,http://product.dangdang.com/23451558.html,人文第一课 最美的民间故事（全4册）,肖莎娜,2014-04-01,湖南少年儿童出版社,40522条评论
69.,http://product.dangdang.com/25183604.html,猫武士一、二、三、四、五部曲（全套30册）厚赠更新版,艾琳・亨特,2017-11-11,未来出版社,2321条评论
70.,http://product.dangdang.com/25306644.html,"世界第一少年侦探团・第二辑（新版，全5册）“哈利・波特”之母J.K.罗琳的童年枕边书,又译",伊妮德・布莱顿,2018-08-01,江苏凤凰美术出版社,34729条评论
71.,http://product.dangdang.com/23333476.html,疯狂学校（套装全六册）,古特曼,2013-08-01,江苏少年儿童出版社,66405条评论
72.,http://product.dangdang.com/25246592.html,我的世界・史蒂夫冒险系列 6册 （勇敢+信任+智慧+友谊+谅解+团结）,温特・摩根,2018-04-16,安徽科学技术出版社,7957条评论
73.,http://product.dangdang.com/25246591.html,我的世界・冒险故事图画书 6册 （勇敢+信任+智慧+友谊+谅解+团结）,梅根・米勒,2018-04-02,安徽科学技术出版社,5814条评论
